cell_type cell_id component component_id X Y Z inner_radius outer_radius
axon 4 axon 0 40.3356 12.9819 29.1804 2.71663 2.71663
axon 4 axon 0 40.2862 13.0419 29.7944 2.72314 2.72314
axon 4 axon 0 40.2362 13.1026 30.4154 2.73092 2.73092
axon 4 axon 0 40.1863 13.1634 31.0365 2.7387 2.7387
axon 4 axon 0 40.1363 13.2241 31.6575 2.74648 2.74648
axon 4 axon 0 40.0864 13.2848 32.2785 2.75426 2.75426
axon 4 axon 0 40.0967 13.3499 32.9089 2.7629 2.7629
axon 4 axon 0 40.107 13.4149 33.5393 2.77155 2.77155
axon 4 axon 0 40.1173 13.4799 34.1697 2.78019 2.78019
axon 4 axon 0 40.1276 13.545 34.8001 2.78883 2.78883
axon 4 axon 0 40.1379 13.61 35.4305 2.78269 2.78269
axon 4 axon 0 40.1482 13.675 36.0609 2.77656 2.77656
axon 4 axon 0 40.1585 13.7401 36.6912 2.77042 2.77042
axon 4 axon 0 40.1688 13.8051 37.3216 2.76429 2.76429
axon 4 axon 0 40.179 13.8696 37.9465 2.75531 2.75531
axon 4 axon 0 40.1892 13.9341 38.5713 2.74634 2.74634
axon 4 axon 0 40.1994 13.9985 39.1962 2.73736 2.73736
axon 4 axon 0 40.2096 14.063 39.821 2.72839 2.72839
axon 4 axon 0 40.2198 14.1272 40.4435 2.73478 2.73478
axon 4 axon 0 40.2299 14.1914 41.0661 2.74117 2.74117
axon 4 axon 0 40.2401 14.2557 41.6886 2.74756 2.74756
axon 4 axon 0 40.2503 14.3199 42.3111 2.75395 2.75395
axon 4 axon 0 40.2605 14.3841 42.9336 2.73928 2.73928
axon 4 axon 0 40.2706 14.4483 43.5561 2.72462 2.72462
axon 4 axon 0 40.2808 14.5126 44.1786 2.70995 2.70995
axon 4 axon 0 40.291 14.5768 44.8011 2.69529 2.69529
axon 4 axon 0 40.3009 14.6396 45.4104 2.44659 2.44659
axon 4 axon 0 40.3109 14.7025 46.0196 2.44291 2.44291
